Label,Primary Evidence Indexes,Secondary Evidence Indexes
Entailment,Eligibility Criteria:   Must have invasive metastatic breast cancer   Histological confirmation of invasive breast cancer either from the original diagnosis and/or diagnosis of metastatic disease.,Inclusion Criteria:   infiltrating (invasive) HER2-neu-negative or HER2-neu-positive breast cancer.
Entailment,Inclusion Criteria:   Recent primary surgery for breast cancer   Early stage breast cancer   Postmenopausal   Hormone receptor positive   Positive lymph node involvement,"Inclusion Criteria:   Metastatic adenocarcinoma of the breast (Stage IV)   Actively receiving endocrine therapy for at least 6 weeks (with or without HER2 therapy)   Minimum age 18 years   ECOG Performance status of 0, 1 or 2   Normal organ and marrow function as defined in the protocol Exclusion Criteria:   Participants may not be receiving any other study agents   Actively receiving chemotherapy (exclusive of hormonal or HER2 therapy ) within last 5 weeks   Any statin therapy within the last 3 weeks   Asian decent (including Filipino, Chinese, Japanese, Korean, Vietnamese or Asian-Indian origin)   Concomitant use of the following drugs: cyclosporine, fibrates, niacin, gemfibrozil, ketaconazole, spironolactone, cimetidine, warfarin, erythromycin, or protease inhibitors   Conditions predisposing to renal failure secondary to rhabdomyolysis   Recent history of heavy alcohol use as judged by the treating physician   Known to be pregnant (testing not required) or nursing   History of rhabdomyolysis on statin therapy   Known history of Hepatitis C or active hepatitis B infection (baseline testing not required)   Uncontrolled intercurrent illness including, but not limited to ongoing or active infection, hepatitis, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements"
Entailment,Adverse Events 1:   Total: 1/22 (4.55%)   Blood bilirubin increased 1/22 (4.55%)   Alkaline phosphatase increased 1/22 (4.55%),nan
Entailment,"INTERVENTION 1:    Group 2 (RS 11-25)   Patients with an intermediate RS (11-25) were assigned to Group 2. The subject was then randomized to treatment Arm 1, neoadjuvant hormonal therapy, or treatment Arm 2, neoadjuvant chemotherapy.","INTERVENTION 1:    AC, Followed by Weekly Paclitaxel and Concurrent Pazopanib   Participants were treated with intravenous (IV) doxorubicin (60 milligrams per meters squared [mg/m^2]) and cyclophosphamide (AC) (600 mg/m^2) every 21 days for 4 cycles. This was followed by weekly paclitaxel (WP) 80 mg/m^2 IV on Days 1, 8, and 15 every 28 days for 4 cycles given concurrently with oral pazopanib 800 mg (2 tablets taken at the same time each day, either 1 hour before or 2 hours after a meal) taken daily and continuing until 7 days before surgery. Pazopanib was resumed at the same oral dose 4-6 weeks after surgery and was continued daily for 6 months."
Entailment,Outcome Measurement:    Number of Participants With Dose Limiting Toxicities (DLT)   Number of participants with DLT in the first cycle (28 days) for the determination of the maximum tolerated dose (MTD). Important Limitations and Caveats are provided in the respective section.   Time frame: 28 days Results 1:    Arm/Group Title: Afatinib 20mg + Herceptin   Arm/Group Description: Patients received continuous daily dosing with Afatinib 20mg film-coated tablets and once weekly an intravenous infusion of Herceptin until disease progression or lack of clinical benefit. This group includes patients from the dose-escalation cohort and from the expansion cohort.   Overall Number of Participants Analyzed: 13   Measure Type: Number   Unit of Measure: Participants  4 Results 2:    Arm/Group Title: Afatinib 30mg + Herceptin   Arm/Group Description: Patients received continuous daily dosing with Afatinib 30mg film-coated tablets and once weekly an intravenous infusion of Herceptin until disease progression or lack of clinical benefit.   Overall Number of Participants Analyzed: 2   Measure Type: Number   Unit of Measure: Participants  2,nan
Contradiction,"Outcome Measurement:    Progression Free Survival (PFS)   To determine whether MM-121 + exemestane was more effective than placebo + exemestane in prolonging progression-free survival. PFS was a time to event measure, and progression of disease is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1), ""as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions"". Progression free survival was defined as the number of months from the date of randomization to the date of death or progression. If neither death nor progression was observed during the study, PFS data was censored at the last non-progressive disease valid tumor assessment unless the patient was discontinued due to symptomatic deterioration. If this occurred, the patient was counted as having progressive disease (PD).   Time frame: Time from first dose to date of progression, the longest time frame of 79.1 weeks Results 1:    Arm/Group Title: MM-121 + Exemestane   Arm/Group Description: MM-121 (40mg/kg loading dose week 1, then 20 mg/kg weekly) administered over 60 minutes as an intravenous infusion once per week, plus exemestane (25 mg) administered orally once per day   Overall Number of Participants Analyzed: 56   Median (95% Confidence Interval)   Unit of Measure: weeks  15.9        (9.3 to 30.3) Results 2:    Arm/Group Title: Placebo + Exemestane   Arm/Group Description: Placebo and Exemestane: Placebo (histidine solution) administered over 60 minutes as an intravenous infusion once per week plus exemestane (25 mg) administered orally once per day   Overall Number of Participants Analyzed: 59   Median (95% Confidence Interval)   Unit of Measure: weeks  10.7        (8.1 to 16.1)",nan
Entailment,Adverse Events 2:   Total: 8/537 (1.49%)   Hypertension 1/537 (0.19%)   Acoustic Neuroma 0/537 (0.00%)   Diarrhea 1/537 (0.19%)   Colitis 0/537 (0.00%)   Elevated ALT or AST enzyme 0/537 (0.00%)   Diagnosis of Uterine Cancer 2/537 (0.37%)   Motorcycle accident 1/537 (0.19%)   Fall 1/537 (0.19%)   Surgery 2/537 (0.37%),nan
Contradiction,Adverse Events 1:   death progressive disease * 0/15 (0.00%) Adverse Events 2:   death progressive disease * 1/14 (7.14%),nan
Entailment,"Outcome Measurement:    Systemic Tumor Response Rates (Complete Response+Partial Response)   The systemic tumor response refers to the response at the time of best overall response. The response criteria are specially adapted from Response Evaluation Criteria in Solid Tumor for Immunotherapies (Wolchok, et al., 2009).   Time frame: 9 weeks from the start of the treatment of RT",nan
Contradiction,"Outcome Measurement:    Time to Tumor Progression (TTP)   Time in days from start of study treatment to first documentation of objective tumor progression or death due to cancer, whichever comes first. TTP was calculated as first event date minus the date of first dose of study medication plus 1. Tumor progression was determined from oncologic assessment data (where data meet the criteria for progressive disease [PD]).   Time frame: Phase 2 double-blind baseline until tumor progression or death or discontinuation from study treatment, assessed every 9 weeks up to 129 weeks Results 1:    Arm/Group Title: Axitinib + Docetaxel (Phase 2, Double-blind)   Arm/Group Description: Axitinib (AG-013736) 5 mg tablet orally BID starting from Day 1 of Cycle 1, in cycles of 3 weeks. Docetaxel 80 mg/m^2 1 hr IV infusion on Day 1 of each cycle, in cycles of 3 weeks. Treatment was continued until disease progression, intolerable toxicity, or for 2 cycles after complete response.   Overall Number of Participants Analyzed: 112   Median (95% Confidence Interval)   Unit of Measure: days  247        (208 to 265) Results 2:    Arm/Group Title: Docetaxel + Placebo (Phase 2, Double-blind)   Arm/Group Description: Placebo matched to axitinib (AG-013736) tablet orally BID starting from Day 1 of Cycle 1, in cycles of 3 weeks. Docetaxel 80 mg/m^2 1 hr IV infusion on Day 1 of each cycle, in cycles of 3 weeks. Treatment was continued until disease progression, intolerable toxicity, or for 2 cycles after complete response. Participants with disease progression after consent were continued to open-label phase.   Overall Number of Participants Analyzed: 55   Median (95% Confidence Interval)   Unit of Measure: days  215        (191 to 247)",nan
Entailment,"Outcome Measurement:    Mean Duration of Grade 4 Neutropenia During Cycle 1 of Chemotherapy   Mean duration of severe neutropenia, defined as the mean number of consecutive days with Grade 4 neutropenia (ANC less than 0.5*10^9 cells/L)   Time frame: 21 days (Cycle 1 of chemotherapy treatment) Results 1:    Arm/Group Title: EP2006 + EP2006 & Neupogen   Arm/Group Description: All subjects randomized to receive either EP2006 in Cycle 1   Overall Number of Participants Analyzed: 101   Mean (Standard Deviation)   Unit of Measure: Days  1.17         (1.11) Results 2:    Arm/Group Title: Neupogen + Neupogen & EP2006   Arm/Group Description: All subjects randomized to receive Neupogen in Cycle 1   Overall Number of Participants Analyzed: 103   Mean (Standard Deviation)   Unit of Measure: Days  1.2         (1.02)",nan
Entailment,Adverse Events 1:   Leukopenia 0/42 (0.00%) Adverse Events 2:   Leukopenia 2/61 (3.28%),Adverse Events 1:   LEUKOPENIA 2/145 (1.38%) Adverse Events 2:   LEUKOPENIA 0/144 (0.00%)
Contradiction,INTERVENTION 1:    Letrozole and Imatinib Mesylate   Imatinib mesylate 400 mg by mouth twice a day daily for 28 days and Letrozole 2.5 mg once a day daily for 28 days cycle.,nan
Entailment,Inclusion Criteria:   Estrogen receptor or progesterone receptor positive breast cancer   Premenopausal with regular menstrual cycles Exclusion Criteria:   Current oral contraceptives,nan
Entailment,Inclusion Criteria:   Normal (greater than 50%) left ventricular ejection fraction (LVEF) by MUGA scan or echocardiography.,nan
Entailment,"Outcome Measurement:    Recommended Phase II Dose as Assessed by NCI Common Terminology Criteria for Adverse Events (CTCAE) Version 3.0 (Phase I)   Dose-limiting toxcities (DLT) were defined as grade 3-4 febrile neutropenia, thrombocytopenia and non-hemtological toxicity attributed to therapy (nausea, vomiting and diarrhea would be considered dose limiting only if not adequately controlled with therapy). Any toxicity occurring during cycle 1 that resulted in dose reduction of vorinostat or paclitaxel or failure to complete all protocol specificed doses in the first cycle was also considered a DLT   Time frame: 28 days Results 1:    Arm/Group Title: Phase I   Arm/Group Description: Vorinostat dose (200 or 300 mg BID) was assigned at the time of registration. Vorinostat was administered orally twice daily on days 1-3, 8-10, and 15-17 of each 28-day cycle.   All patients also received paclitaxel at 90 mg/m2 as 1-hour infusion on days 2, 9, and 16 of every 28-day cycle. Bevacizumab was administered on day 2 and day 16 of the 28 day cycle at 10 mg/kg dose. Vorinostat dose escalation was carried out in the standard 3 + 3 phase I trial design based upon toxicity observed during the first cycle of therapy.   Overall Number of Participants Analyzed: 6   Measure Type: Number   Unit of Measure: mg  300",nan
Contradiction,Adverse Events 1:   Total: 5/11 (45.45%)   Nausea 1/11 (9.09%)   Vomiting 1/11 (9.09%)   Fever 1/11 (9.09%)   skin infection  [1]1/11 (9.09%)   Hip fracture 0/11 (0.00%)   Confusion 1/11 (9.09%) Adverse Events 2:   Total: 1/12 (8.33%)   Nausea 0/12 (0.00%)   Vomiting 0/12 (0.00%)   Fever 0/12 (0.00%)   skin infection  [1]0/12 (0.00%)   Hip fracture 1/12 (8.33%)   Confusion 0/12 (0.00%),nan
Contradiction,Adverse Events 1:   Total: 21/337 (6.23%)   Blood/Bone Marrow-Other 0/337 (0.00%)   Febrile neutropenia 0/337 (0.00%)   Hemoglobin 2/337 (0.59%)   Atrioventricular block - 2nd degree Mobitz Type II 0/337 (0.00%)   Cardiac-ischemia/infarction 1/337 (0.30%)   Left ventricular diastolic dysfunction 0/337 (0.00%)   Left ventricular systolic dysfunction 1/337 (0.30%)   Restrictive cardiomyopathy 1/337 (0.30%),nan
Entailment,Exclusion Criteria:   Receiving treatment for rheumatoid arthritis or fibromyalgia   Current history of poorly controlled migraines or perimenopausal symptoms   Prior history of invasive breast cancer or other invasive cancer within five years from date of study entry.,nan
Contradiction,Outcome Measurement:    Clinical Benefit Rate (CR Plus PR Plus SD)   Complete response (CR) + partial response (PR) + stable disease (SD) using RECIST 1.0   CR ,nan
Contradiction,INTERVENTION 1:    Treatment (Pazopanib Hydrochloride)   Patients receive oral pazopanib once daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.   pazopanib hydrochloride: Given orally   pharmacological study: Correlative studies   laboratory biomarker analysis: Correlative studies,nan
Entailment,Exclusion Criteria:   Prior anthracyclines as part of prior anticancer therapy.,"Inclusion Criteria:   No prior chemotherapy, radiation therapy, or surgery within 6 months of study entry"
Entailment,Adverse Events 2:   Anemia with trombocytopenia  1/110 (0.91%),nan
Contradiction,"Outcome Measurement:    Percentage of Participants With Feasibility   The regimen was considered feasible if the participant was able to complete the eribulin portion without dose delay or reduction. Dose delay was defined as a delay due to eribulin-related adverse event (AE) for more than 2 days for subsequent doses (cycles after the initiation of full dose of eribulin, except holidays, scheduling difficulties and nonclinical logistical issues). If a participant had more than 1 dose omission, delay or reduction due to eribulin-related AE, these events were collectively counted as one entity in the same participant. Participants were followed for approximately 3 years after the last dose of the study treatment. Feasibility rates were calculated with or without growth factor support. In both cohorts, the percentage of participants who completed the eribulin portion of the regimen without a dose omission, delay or reduction due to eribulin-related AE was estimated via the observed completion rate and an exact 90% confidence interval (CI) was constructed.   Time frame: From date of first dose, up to 3 years after the last dose of study treatment, or up to approximately 4 years 2 months Results 1:    Arm/Group Title: Cohort 1: Eribulin Mesylate With Filgrastim as Needed   Arm/Group Description: Participants initially received doxorubicin (60 mg/m^2) plus cyclophosphamide (600 mg/m^2) intravenously (IV) on Day 1, of every 14-day cycle for 4 cycles. Eribulin mesylate was administered following the doxorubicin plus cyclophosphamide regimen at a dose of 1.4 mg/m^2 IV over 2 to 5 minutes on Days 1 and 8 of a 21-day cycle for 4 cycles (Cycles 5 to 8). In this Cohort growth factors, subcutaneous pegfilgrastim (6 mg) or filgrastim, could be used with eribulin therapy at the physician's discretion if neutropenia occurred that recovered to Grade   2.   Overall Number of Participants Analyzed: 54   Measure Type: Number   Unit of Measure: Percentage of participants  70.4        (58.5 to 80.4) Results 2:    Arm/Group Title: Cohort 2: Eribulin Mesylate With Prophylactic Filgrastim   Arm/Group Description: Participants initially received doxorubicin (60 mg/m^2) plus cyclophosphamide (600 mg/m^2) IV on Day 1, of every 14-day cycle for 4 cycles. Eribulin mesylate was administered following the doxorubicin plus cyclophosphamide regimen at a dose of 1.4 mg/m^2 IV over 2 to 5 minutes on Days 1 and 8 of a 21-day cycle for 4 cycles (Cycles 5 to 8). In this Cohort filgrastim was used with eribulin therapy at a dose of 300 micrograms for participants   60 kg or 480 micrograms for participants >60 kg, administered subcutaneously on Days 3 and 4 and Days 10 and 11 of each eribulin cycle.   Overall Number of Participants Analyzed: 25   Measure Type: Number   Unit of Measure: Percentage of participants  60.0        (41.7 to 76.4)",nan
Contradiction,"Outcome Measurement:    Progression Free Survival (PFS) as Per RECIST v1.1 (by Local Investigator Assessment)   PFS Results presented for all MCS110 treated patients (with and without day 8 dose), in line with phase 2 study design.   Time frame: 4 years",Outcome Measurement:    Best Overall Response of Everolimus and Exemestane Treatment in Postmenopausal Women With Hormone Receptor Positive Locally Advanced or Metastatic Breast Cancer   The best Overall Response (OR) for each patient is determined from the sequence of investigator overall lesion responses according to Response Evaluation Criteria in Solid Tumors (RECIST 1.1.). To be assigned a best OR of Complete Responese (CR) at least two determinations of CR at least 4 weeks apart before progression are required. To be assigned a best OR of Partial Response (PR) at least two determinations of PR or better at least 4 weeks apart before progression (and not qualifying for a CR) are required.The Overall Response Rate (ORR) was defined as the proportion of patients with a best OR of confirmed CR or PR by week 48.   Time frame: At 48 weeks
Entailment,Inclusion Criteria:   Less than 120 minutes of exercise per week,"Inclusion Criteria:   The patient has provided written informed consent with HIPAA authorization before participating in the study, as has his/her responsible caregiver, if applicable.   The patient is a candidate for surgical intervention, with lymph node mapping being a part of the surgical plan.   The patient is at least 18 years of age at the time of consent.   The patient has an ECOG performance status of Grade 0 - 2 [8].   The patient has a clinical negative node status at the time of study entry.   If of child bearing potential, the patient has a negative pregnancy test within 72 hours prior to administration of Lymphoseek, has been surgically sterilized, or has been postmenopausal for at least 1 year.   The patient is currently not participating in another investigational drug study.   Melanoma Patients   The patient has a diagnosis of primary melanoma.   Breast Cancer Patients   The patient has a diagnosis of primary breast cancer.   Patients with pure ductal carcinoma in situ (DCIS) or non-invasive carcinoma if lymph node biopsy is part of the surgical plan. Exclusion Criteria:   The patient is pregnant or lactating;   The patient has clinical or radiological evidence of metastatic cancer including palpably abnormal or enlarged lymph nodes (i.e., all patients should be any T,N0,M0);   The patient has a known hypersensitivity to Lymphazurin or Patent Bleu V.   Melanoma Patients   The patient has a tumor with a Breslow depth less than 0.75mm.;   Patients that have had preoperative chemotherapy, immunotherapy or radiation therapy;   Patients diagnosed with a prior invasive melanoma that would occur on the same body region or potentially draining to the same nodal basin or patients with truncal or extremity primary melanoma who has had a prior breast cancer potentially draining to the same axillary nodal basin;   Patients who have undergone node basin surgery of any type or radiation to the nodal basin(s) potentially draining the primary melanoma;   Patients who have undergone a wide excision for their primary melanoma (>1 cm in dimension) or complex reconstruction (rotation, free flap or skin graft of any type).   Breast Cancer Patients   The patient has bilateral primary breast cancers or multiple tumors within their breast;   Patients that have had prior surgical procedures such as breast implants, reduction mammoplasty or axillary surgery;   Patients scheduled for bilateral mastectomy for any reason;   Patients that have had preoperative radiation therapy to the affected breast or axilla"
Entailment,Inclusion Criteria:   Participants can be from any racial or ethnic origin.   Participants must be able to understand English and able to complete assessment forms (all assessment forms are in English).,nan
Contradiction,"Adverse Events 1:   Total: 10/14 (71.43%)   Hemoglobin 2/14 (14.29%)   Lymphopenia 1/14 (7.14%)   Cardiac ischemia/infarction 1/14 (7.14%)   Hypertension 2/14 (14.29%)   Hypotension 1/14 (7.14%)   Constipation 1/14 (7.14%)   Diarrhea 1/14 (7.14%)   Heartburn/dyspepsia 1/14 (7.14%)   Fatigue (asthenia, lethargy, malaise) 2/14 (14.29%)   Rigors/chills 1/14 (7.14%)","Adverse Events 1:   Total: 96/162 (59.26%)   Cardiac disorders - Other, specify 2/162 (1.23%)   Diarrhea 1/162 (0.62%)   Mucositis oral 2/162 (1.23%)   Nausea 1/162 (0.62%)   Fatigue 6/162 (3.70%)   Breast infection 2/162 (1.23%)   Soft tissue infection 1/162 (0.62%)   Lymphocyte count decreased 2/162 (1.23%)   Neutrophil count decreased 78/162 (48.15%)   Hypertension 1/162 (0.62%)"
Entailment,"Inclusion Criteria:   To be included in this study, you must meet the following criteria:   Adenocarcinoma of the breast confirmed by biopsy   Female Patients >18 years of age Exclusion Criteria:   You cannot participate in this study if any of the following apply to you:   Life expectancy of < than 6 months",nan
Entailment,Adverse Events 1:   Total: 2/2 (100.00%)   Febrile neutropenia * 2/2 (100.00%)   Haemorrhage NOS * 0/2 (0.00%)   Abdominal pain * 0/2 (0.00%)   Diarrhea * 0/2 (0.00%)   Melaena * 0/2 (0.00%)   Mucositis oral * 0/2 (0.00%)   Nausea * 0/2 (0.00%)   Vomiting * 0/2 (0.00%)   Catheter related infection * 0/2 (0.00%)   Infection NOS * 0/2 (0.00%)   Leukopenia * 1/2 (50.00%),nan
Contradiction,Inclusion Criteria:   Has Human Epidermal Growth Factor Receptor 2 (HER2) negative breast cancer,Inclusion Criteria:   stage I-III breast cancer
Contradiction,"Adverse Events 1:   Total: 5/14 (35.71%)   Ileus 1/14 (7.14%)   General disorders and administration site conditions - Other, disease progression 2/14 (14.29%)   Infections and infestations - Other, pneumonia 1/14 (7.14%)   Acute kidney injury 1/14 (7.14%)",Adverse Events 1:   Total: 3/9 (33.33%)   Fatigue * 1/9 (11.11%)   Non-cardiac chest pain * 1/9 (11.11%)   Sepsis * 1/9 (11.11%)   Urinary tract infection * 1/9 (11.11%)   Syncope * 1/9 (11.11%)   Anxiety * 1/9 (11.11%)   Thromboembolic event * 1/9 (11.11%)
Contradiction,Outcome Measurement:    Event-free Survival   Event-free survival of patients treated for inflammatory (Stage IIIb) and responsive stage IV breast cancer with BUMELTT and PBSC support and low dose immunotherapy with IL2 and GM-CSF.   Time frame: 11 years Results 1:    Arm/Group Title: TX/Maintenance Therapy for Stage IIIB/IV Breast Cancer   Arm/Group Description: See Detailed Description.   tamoxifen citrate: Given orally   busulfan: Given orally   thiotepa: Given IV   melphalan: Given IV   aldesleukin: Given SC   sargramostim: Given SC   peripheral blood stem cell transplantation: Undergo autologous peripheral blood stem cell infusion   radiation therapy: May undergo radiotherapy after completion of IL-2/GM-CSF   Overall Number of Participants Analyzed: 50   Measure Type: Count of Participants   Unit of Measure: Participants  Stage IIIB Disease: 18 participants   11  61.1%   Stage IV Disease: 32 participants 9  28.1%,nan
Entailment,"INTERVENTION 1:    Decongestive Physiotherapy   This group received Complex Decongestive Physiotherapy.   Decongestive Physiotherapy: This group received CDP, which include MLD, short-stretch bandages, lymph-reducing exercises, and skin care. MLD was applied to the anterior trunk, posterior trunk, and the base of the neck, progressing to the affected limb. Short-stretch bandages were applied in multiple layers after MLD. A low pH skin lotion was applied prior to bandaging and then stockinette was placed on the arm. The fingers and the hand were wrapped in gauze. A layer of cotton was wrapped around the arm. Bandages (6, 8 and/or 10cm) were sequentially applied in a spiral fashion around the limb with the smallest bandage starting at the hand. The most compression was at the most distal points and gradually decreased proximally. Exercises were done by patients to improve mobility and enhance lymphatic flow. INTERVENTION 2:    Decongestive Physiotherapy Plus Taping   This group received Complex Decongestive Physiotherapy, and also applying taping to anastomosis regions.   Decongestive Physiotherapy plus taping: This group received CDP as same protocol of active comparator. In addition, taping was applied to anterior and posterior axillo-axillary anastomosis and axillo-inguinal anastomosis. The tape was started on the unaffected side and strips of tape were applied so as to reach the affected side regarding anterior and posterior axillo-axillary anastomosis. For axillo-inguinal anastomosis, the tape was started in the inguinal region of the affected side and strips of tape were applied so that they reached the axillary region.",nan
Contradiction,INTERVENTION 1:    100 mg Q-122   Dosage was 100 mg Q-122 administered orally as two 50 mg capsules once daily for 28 days. INTERVENTION 2:    200 mg Q-122   Dosage was 200 mg Q-122 administered orally as four 50 mg capsules once daily for 28 days.,INTERVENTION 1:    Treatment Period 1   Participants received AZD9496 - Variant A (100 mg). INTERVENTION 2:    Treatment Period 2   Participants received AZD9496 - Reference (100 mg).
Contradiction,"Outcome Measurement:    Percentage Change From Baseline to Time of Surgery in Oestrogen Receptor (ER) H-score: Antitumour Effects of Fulvestrant, Anastrozole and a Combination of Both as Measured by the ER H-score.   For each sample, the ER H-score is calculated from the percentage of cells staining very weak (+/-); weak (+); moderate (++); or strong (+++) as follows: H-score ",nan
Contradiction,"  Histologically confirmed infiltrating carcinoma of the breast meeting any of the following criteria:   T1-3, any N disease   Proven ductal carcinoma in situ   Unresected disease   Planned mastectomy as definitive surgical procedure   Known or suspected metastatic disease allowed provided mastectomy is planned   Nonpalpable tumor allowed (e.g., initial T2-3 tumor that responded to preoperative therapy)   No inflammatory breast cancer or other T4 features   Successful baseline ductogram   Baseline nipple aspiration procedure must identify a duct productive of nipple aspirate fluid   No severe nipple retraction   Hormone receptor status not specified","Inclusion Criteria:   Histologically confirmed, HER2-positive advanced and/or metastatic breast cancer not amenable to curative therapy   At least one measurable lesion according to RECIST   Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1   Baseline left ventricular ejection fraction (LVEF) at least 50% Exclusion Criteria:   Pregnant, lactating, or women of childbearing potential who are not surgically sterile or not willing to use adequate contraceptive methods   Previous treatment with Herceptin or other anti-HER therapies, or any previous chemotherapy for advanced or metastatic disease   Past medical history significant for any cardiac or central nervous system (CNS) disorders   Poor hematologic, renal, or hepatic function   Chronic corticosteroid therapy"
Entailment,Inclusion Criteria:   HER-2 overexpressing breast cancer,nan
Contradiction,"Outcome Measurement:    Phase 1b: Number of Participants With Dose-limiting Toxicities (DLTs) as Per National Cancer Institute Common Terminology Criteria for Adverse Events Version 3.0 (NCI CTCAE v3.0)   DLTs as per NCI CTCAE v3.0 were defined as:1) Neutropenia Grade 4 that lasted at least 7 days, 2) Neutropenia Grade 3 or 4 complicated by fever and/or infection (absolute neutrophil count [ANC] less than 1.0*10^9/liter [L], fever of at least 38.5 degree celsius [°C]), 3)Thrombocytopenia Grade 4, 4) Thrombocytopenia Grade 3 complicated by bleeding and/or requiring platelet or blood transfusion, 5) Non-hematological toxicity Grade 3 or higher (excluding Grade 3 nausea, and Grade 3 or 4 vomiting or diarrhea in participants who had not received optimal treatment with antiemetic and/or antidiarrheal medication; excluding laboratory abnormalities without clinical symptoms), 6) Delayed recovery from treatment-related toxicity resulting in dose delay greater than 14 days, 7) Failure to administer at least 75 percent (%) of planned study drugs during Cycle 1 as result of Grade 2 or higher treatment-related toxicity that constituted increase of at least 2 grades from baseline.   Time frame: Cycle 1 (21 days) Results 1:    Arm/Group Title: Phase 1b (Schedule 1): Eribulin Mesilate (1.2 mg/m^2)   Arm/Group Description: Participants received eribulin mesilate 1.2 mg/m^2, injection, intravenously, once, on Day 1 and capecitabine 1000 mg/m^2, tablets, orally, twice daily from Day 1 to 14 in each 21-day treatment cycle for as long as the treatment was clinically appropriate according to the judgment of the investigator or until the occurrence of PD, undue toxicity, the presence of other medical conditions that prohibit continuation of therapy, pregnancy, a delay of more than 14 days in starting the next cycle during Phase 1b (Schedule 1).   Overall Number of Participants Analyzed: 8   Measure Type: Count of Participants   Unit of Measure: Participants  1  12.5% Results 2:    Arm/Group Title: Phase 1b (Schedule 1): Eribulin Mesilate (1.6 mg/m^2)   Arm/Group Description: Participants received eribulin mesilate 1.6 mg/m^2, injection, intravenously, once, on Day 1 and capecitabine 1000 mg/m^2, tablets, orally, twice daily from Day 1 to 14 in each 21-day treatment cycle for as long as the treatment was clinically appropriate according to the judgment of the investigator or until the occurrence of PD, undue toxicity, the presence of other medical conditions that prohibit continuation of therapy, pregnancy, a delay of more than 14 days in starting the next cycle during Phase 1b (Schedule 1).   Overall Number of Participants Analyzed: 6   Measure Type: Count of Participants   Unit of Measure: Participants  1  16.7%",Outcome Measurement:    Concordance of Blue Dye and Lymphoseek   The proportion of lymph nodes detected intraoperatively by blue dye that were also detected by Lymphoseek.   Time frame: Surgery after injections of Lymphoseek and blue dye Results 1:    Arm/Group Title: Intent-To-Treat   Arm/Group Description: Participants received a single dose of 50 μg Lymphoseek radiolabeled with 0.5 or 2.0 mCi Tc 99m and blue dye for lymphatic mapping and surgical resection of lymph nodes.   Overall Number of Participants Analyzed: 133   Overall Number of Units Analyzed   Type of Units Analyzed: Lymph Nodes  Measure Type: NumberNumber (95% Confidence Interval)Unit of Measure: Proportion of Lymph Nodes: 1.0000        (0.9840 to 1.0000)
Contradiction,"INTERVENTION 1:    Flexitouch Device   Lymphedema management via Flexitouch device, an intermittent pneumatic compression device (aka, lymphedema pump) INTERVENTION 2:    Manual Lymphatic Drainage (MLD)   Lymphedema management via self-administered manual lymphatic drainage therapy",nan
Entailment,"Outcome Measurement:    Number of Patients With Congestive Heart Failure (CHF) While on Active Treatment   [Not Specified]   Time frame: 6 months Results 1:    Arm/Group Title: AC/PTL   Arm/Group Description: Standard doxorubicin and cyclophosphamide (AC) followed by weekly paclitaxel (80 mg/m^2) x 12 with concurrent standard dose trastuzumab (weekly x 12, then repeat 3 weeks for an additional 9 months) plus daily lapatinib (modified to 750 mg during Paclitaxel + Trastuzumab + Lapatinib (PTL) and 1000 mg during trastuzumab + lapatinib (TL)) for a total of 12 months.   Overall Number of Participants Analyzed: 109   Measure Type: Number   Unit of Measure: participants  0",nan
